"","imageId","allScore","jasonElo","jimElo","karynElo","kellyElo","mariaElo","mikeElo","mikeRElo","mikeSElo","ninaElo","paulElo","peteElo","susanElo","testuser4Elo"
"1",246,2485.87798654049,2324.63091577045,2213.62825406595,2434.19714183582,2287.46550780818,2195.44675224688,2451.01364460665,2350.78533774452,2444.61356389644,2468.99192603372,2452.98557168605,2470.18954505641,2452.47826294486,2249.28830068336
"2",247,2068.68962728586,2001.75343132957,2205.17893702776,2046.71957080687,2082.50979575751,2186.31178984272,2013.65450444078,2169.33870438302,1993.37892712892,2260.53764067711,2244.93558971118,2067.5364525436,2026.71042276603,2167.63427297616
"3",248,2035.35165030639,2183.20435109139,2178.1698846486,1924.31057011891,1978.92568818524,2165.04619413647,1982.14966970252,2180.80744128046,2266.2190141697,2118.06698870175,1987.10016622893,2239.20439265363,2083.64830325707,2131.28093522249
"4",249,2652.76045667478,2439.91308971037,2476.87385449318,2460.20114697858,2360.67927913113,2455.19523977616,2342.09348122304,2344.17416087042,2394.59197839775,2352.68669865876,2420.11356243588,2362.25245244614,2312.25821739185,2358.99912953863
"5",250,2719.90164620905,2468.37780259018,2341.22502504652,2478.21792348297,2460.1500763466,2267.06238889889,2496.73999016422,2452.15586507689,2518.25858316339,2476.49363090573,2473.51308062198,2457.72901012025,2516.95927747413,2280.24281436955
"6",251,2555.60081253977,2290.0783791798,2319.00018476151,2363.42712741409,2285.32142419226,2330.75275050228,2413.94250631159,2379.0909901077,2403.92956715422,2444.51385242837,2471.4095948696,2489.59374113662,2407.82736534072,2449.45201140425
"7",252,2449.382533938,2310.44097643326,2423.97655401849,2257.29811190093,2347.49145952219,2437.60436163994,2312.68242789789,2387.79602556631,2301.85640877135,2244.15416677105,2315.9248880614,2360.45073804749,2295.33656525973,2359.43784345388
"8",253,1602.2817686269,1913.57232401579,1946.70329988096,1975.83866560602,1969.15973424458,1914.55046649466,1912.39263429808,1958.82483135298,1910.01174043348,1885.9042538863,1940.24177134714,1923.07206949917,1898.02187073422,1951.13759458593
"9",254,2572.9408485172,2494.75901848054,2370.46566665251,2328.06608505108,2409.65822171336,2222.63154103257,2487.72330260682,2362.01092466853,2490.02153815036,2390.01426481666,2413.50228840293,2393.66562494557,2433.97330339861,2334.20737094757
"10",255,1939.97581547574,2122.69474664656,2102.96791026005,2013.05330159754,2183.6612418187,2024.0551538332,2100.51977981906,2067.34520441666,2077.85201249812,2022.865744822,2027.85002734958,2003.15409593295,2135.53071795288,2182.85466711106
"11",256,1975.68763387824,2125.87642861776,2050.09156320607,2028.95207493212,2101.16974007758,2040.6514940898,1934.976082163,2158.24927851499,2138.05545634276,1947.68293791913,2022.50836355456,1998.06313072349,1981.60725371725,2029.83119969892
"12",257,2195.55077649303,2052.64281188467,2190.34316570655,2203.36655277935,2240.55955217578,2381.27231681197,2119.85247616845,2115.65248770242,2047.73261648453,2261.54975172114,2145.28596500222,2110.35475993756,2219.55975506327,2327.05231051885
"13",258,2637.22591740092,2482.94641795508,2509.42678685068,2508.26370882566,2475.8854019668,2251.71625321515,2447.93406766591,2466.23198057371,2370.94107732269,2479.754845624,2468.23207021458,2420.70269109715,2475.83831750112,2297.16686312219
"14",259,2108.4710255002,2226.81065640974,2166.07960692487,2172.59889750744,2137.89081442731,2037.08086561741,2229.86060358834,2232.78968248013,2133.00161827381,2118.05723977769,2193.74518490952,2190.63190030102,2108.42273870633,2030.85695968033
